x,M,mean_delay,p95_delay,throughput,ci_mean_low,ci_mean_high,ci_p95_low,ci_p95_high
0.0,50,2.390888750886022,2.9602765192138403,0.9990888888888889,2.3865165251102405,2.395260976661804,2.94480381657487,2.9757492218528108
0.0,100,2.5011757514459,3.2532747495183103,2.0086666666666666,2.496242092450178,2.5061094104416224,3.22562264197984,3.2809268570567807
0.0,150,2.7053749017956266,3.7751346085747444,3.0037111111111114,2.694701725128899,2.716048078462354,3.732499407958636,3.8177698091908527
0.0,200,3.250222949417156,5.252270455461058,4.004355555555556,3.2096909560387012,3.2907549427956106,5.084832627276824,5.419708283645293
0.0,250,25.170233969016586,46.62550442601463,4.94591111111111,19.467119383668248,30.873348554364924,39.13303007841675,54.117978773612506
0.0,300,478.5670387044321,807.2698557163201,4.8702444444444435,463.3304837010826,493.8035937077816,786.9545579823802,827.58515345026
0.0,350,825.8399204799747,1380.8691163389653,4.775377777777779,810.5565314701714,841.123309489778,1354.8629162963039,1406.8753163816268
0.0,400,1081.0886266279526,1793.7044504636433,4.673533333333333,1073.6866686778362,1088.490584578069,1785.9273724009163,1801.4815285263703
0.0,450,1308.00222978195,2124.041008639575,4.566244444444444,1289.9175910187755,1326.0868685451246,2107.2049525636608,2140.8770647154893
0.0,500,1505.2025503912657,2405.567630132927,4.442288888888889,1497.2691841825924,1513.135916599939,2396.790529633487,2414.3447306323674
0.1,50,2.260721588038768,2.936690980047429,0.9942666666666666,2.2551976360071575,2.2662455400703787,2.9237022766206056,2.9496796834742525
0.1,100,2.3656425971778576,3.2040053181403523,1.9999555555555557,2.3635550509508465,2.3677301434048688,3.187222993178707,3.2207876431019975
0.1,150,2.5580965679066017,3.7068575465979983,3.0014,2.543477570744413,2.5727155650687905,3.6590595439090814,3.754655549286915
0.1,200,3.086405396000676,5.2242925837075544,3.990377777777778,3.026662783928361,3.146148008072991,4.979395132399002,5.469190035016107
0.1,250,28.56042325412836,50.665007920688595,4.9463333333333335,18.38288521427407,38.73796129398265,35.15751161647535,66.17250422490184
0.1,300,470.71285956082465,794.2200038872148,4.895177777777778,450.1306939093352,491.2950252123141,765.5902114259862,822.8497963484434
0.1,350,817.6635736107767,1367.8270001878923,4.774377777777778,807.1972301421046,828.1299170794488,1354.635178466209,1381.0188219095755
0.1,400,1099.9591143357545,1805.155625219848,4.653266666666666,1086.9305174337674,1112.9877112377417,1784.7978000441954,1825.5134503955005
